站号,站名,省名,纬度,经度,海拔高度,日照时数,日期
50779,抚远,黑龙江,48.3667,134.2833,40,7.70,2017/1/29 0:00:00
50787,绥滨,黑龙江,47.2833,131.85,61.80,8.50,2017/1/29 0:00:00
50788,富锦,黑龙江,47.2333,131.9833,66.40,8.20,2017/1/29 0:00:00
50832,胡尔勒,内蒙古,46.7167,122.0833,332.60,8.40,2017/1/29 0:00:00
50833,扎赉特旗,内蒙古,46.7167,122.90,187.80,7.70,2017/1/29 0:00:00
50834,索伦,内蒙古,46.60,121.2167,499.70,8.10,2017/1/29 0:00:00
50838,乌兰浩特,内蒙古,46.0833,122.05,274.70,8.20,2017/1/29 0:00:00
50842,杜蒙,黑龙江,46.8333,124.4167,145.40,6.20,2017/1/29 0:00:00
50844,泰来,黑龙江,46.40,123.45,138.80,7.70,2017/1/29 0:00:00
50850,大庆,黑龙江,46.5667,125.1333,147.20,7.50,2017/1/29 0:00:00
50851,青冈,黑龙江,46.6833,126.0833,207.40,8.20,2017/1/29 0:00:00
50852,望奎,黑龙江,46.8333,126.45,169.10,6.80,2017/1/29 0:00:00
50853,北林,黑龙江,46.6167,126.9667,179.60,6.80,2017/1/29 0:00:00
50854,安达,黑龙江,46.3833,125.3167,149.30,7.30,2017/1/29 0:00:00
50858,肇东,黑龙江,46.0667,125.9333,135,8.10,2017/1/29 0:00:00
50859,兰西,黑龙江,46.25,126.2667,159.10,7,2017/1/29 0:00:00
50861,庆安,黑龙江,46.8833,127.4833,184.80,8.10,2017/1/29 0:00:00
50862,铁力,黑龙江,46.9833,127.9833,206,7.80,2017/1/29 0:00:00
50867,巴彦,黑龙江,46.0833,127.35,134.10,8.80,2017/1/29 0:00:00
50871,汤原,黑龙江,46.7333,129.8833,95.10,8,2017/1/29 0:00:00
50873,佳木斯,黑龙江,46.7833,130.30,82,8,2017/1/29 0:00:00
50877,依兰,黑龙江,46.30,129.5833,100.10,4.10,2017/1/29 0:00:00
50878,桦川,黑龙江,47,130.7167,78.20,6.90,2017/1/29 0:00:00
50879,桦南,黑龙江,46.2167,130.55,187,7.70,2017/1/29 0:00:00
50880,集贤,黑龙江,46.7333,131.1167,102.30,0,2017/1/29 0:00:00
50884,双鸭山,黑龙江,46.6333,131.15,175.30,7.60,2017/1/29 0:00:00
50888,宝清,黑龙江,46.3167,132.1833,83,7.80,2017/1/29 0:00:00
50892,饶河,黑龙江,46.80,134,54.40,8,2017/1/29 0:00:00
50913,乌拉盖,内蒙古,45.7167,118.8333,865,8.60,2017/1/29 0:00:00
50915,东乌珠穆沁,内蒙古,45.5167,116.9667,838.70,8.20,2017/1/29 0:00:00
50924,霍林郭勒,内蒙古,45.5333,119.6667,823.70,7.60,2017/1/29 0:00:00
50928,巴雅尔吐胡硕,内蒙古,45.0667,120.3333,628.30,8.80,2017/1/29 0:00:00
50934,突泉,内蒙古,45.3833,121.5833,311.70,8.40,2017/1/29 0:00:00
50936,白城,吉林,45.6333,122.8333,155.30,8.60,2017/1/29 0:00:00
50937,科尔沁右翼中旗,内蒙古,45.05,121.4667,249.90,8.70,2017/1/29 0:00:00
50939,洮南,吉林,45.3333,122.8167,150.80,8.20,2017/1/29 0:00:00
50940,镇赉,吉林,45.85,123.1667,141.10,8.10,2017/1/29 0:00:00
50945,大安,吉林,45.50,124.2667,137.60,6.60,2017/1/29 0:00:00
50946,松原,吉林,45.1833,124.8333,139.80,7.40,2017/1/29 0:00:00
50948,乾安,吉林,45,124.0167,146.30,6.90,2017/1/29 0:00:00
50949,前郭,吉林,45.0833,124.8667,136.20,6.60,2017/1/29 0:00:00
50950,肇州,黑龙江,45.70,125.25,148.70,7.80,2017/1/29 0:00:00
50953,哈尔滨,黑龙江,45.9333,126.5667,118.30,6.90,2017/1/29 0:00:00
50954,肇源,黑龙江,45.50,125.0833,127.50,7.50,2017/1/29 0:00:00
50955,双城,黑龙江,45.3833,126.30,166.40,8.20,2017/1/29 0:00:00
50956,呼兰,黑龙江,46.0833,126.7667,134.50,6.70,2017/1/29 0:00:00
50958,阿城,黑龙江,45.5167,126.95,174.30,7.80,2017/1/29 0:00:00
50960,宾县,黑龙江,45.7833,127.45,192.20,8.30,2017/1/29 0:00:00
50962,木兰,黑龙江,45.95,128.0333,112.10,6.10,2017/1/29 0:00:00
50963,通河,黑龙江,45.9667,128.7333,108.60,8.20,2017/1/29 0:00:00
50964,方正,黑龙江,45.8333,128.80,119.30,6.60,2017/1/29 0:00:00
50965,延寿,黑龙江,45.45,128.2833,155.30,7,2017/1/29 0:00:00
50968,尚志,黑龙江,45.2167,127.9667,189.70,6.20,2017/1/29 0:00:00
50971,七台河,黑龙江,45.7667,131.0167,223.50,0,2017/1/29 0:00:00
50973,勃利,黑龙江,45.75,130.60,234.40,2.10,2017/1/29 0:00:00
50978,鸡西,黑龙江,45.30,130.9167,272.50,6.80,2017/1/29 0:00:00
50979,林口,黑龙江,45.2667,130.2333,274.70,6.30,2017/1/29 0:00:00
50983,虎林,黑龙江,45.7667,132.9667,100.20,8.20,2017/1/29 0:00:00
50985,密山,黑龙江,45.55,131.8667,151.70,6.90,2017/1/29 0:00:00
50987,鸡东,黑龙江,45.2667,131.10,219.90,5.70,2017/1/29 0:00:00
51053,哈巴河,新疆,48.05,86.40,532.60,7.70,2017/1/29 0:00:00
51058,阿克达拉,新疆,47.10,87.9667,563.30,7.70,2017/1/29 0:00:00
51059,吉木乃,新疆,47.4333,85.8667,984.10,7.50,2017/1/29 0:00:00
51060,布尔津,新疆,47.70,86.8667,473.90,7.20,2017/1/29 0:00:00
51068,福海,新疆,47.1167,87.4667,500.90,6.20,2017/1/29 0:00:00
51076,阿勒泰,新疆,47.7333,88.0833,735.30,7.70,2017/1/29 0:00:00
51087,富蕴,新疆,46.9833,89.5167,807.50,7.10,2017/1/29 0:00:00
51133,塔城,新疆,46.7333,83,534.90,6.40,2017/1/29 0:00:00
51137,裕民,新疆,46.20,82.9333,715.40,6.80,2017/1/29 0:00:00
51145,额敏,新疆,46.55,83.65,521.60,7.60,2017/1/29 0:00:00
51156,和布克赛尔,新疆,46.7833,85.7167,1291.60,7.60,2017/1/29 0:00:00
51186,青河,新疆,46.6667,90.3833,1218.20,7.90,2017/1/29 0:00:00
51232,阿拉山口,新疆,45.1833,82.5667,336.10,6.30,2017/1/29 0:00:00
51238,博乐,新疆,44.90,82.0667,531.90,6.80,2017/1/29 0:00:00
51241,托里,新疆,45.9333,83.60,1077.80,8.20,2017/1/29 0:00:00
51243,克拉玛依,新疆,45.6167,84.85,449.50,6.60,2017/1/29 0:00:00
51288,北塔山,新疆,45.3667,90.5333,1653.70,7.50,2017/1/29 0:00:00
51328,霍尔果斯,新疆,44.20,80.4167,770.90,5.70,2017/1/29 0:00:00
51329,霍城,新疆,44.05,80.85,640,6.10,2017/1/29 0:00:00
51330,温泉,新疆,44.9667,81.0167,1357.80,7.90,2017/1/29 0:00:00
51334,精河,新疆,44.60,82.90,318.60,5.70,2017/1/29 0:00:00
51346,乌苏,新疆,44.4333,84.6667,478.70,5.10,2017/1/29 0:00:00
51352,炮台,新疆,44.85,85.25,337.10,5.20,2017/1/29 0:00:00
51353,莫索湾,新疆,45.0167,86.10,346,5.50,2017/1/29 0:00:00
51356,石河子,新疆,44.3167,86.05,442.90,4.50,2017/1/29 0:00:00
51357,沙湾,新疆,44.3333,85.6167,522.20,4.30,2017/1/29 0:00:00
51358,乌兰乌苏,新疆,44.2833,85.8167,468.50,6.70,2017/1/29 0:00:00
51359,玛纳斯,新疆,44.3167,86.20,471.40,2.70,2017/1/29 0:00:00
51365,蔡家湖,新疆,44.20,87.5333,440.50,2.20,2017/1/29 0:00:00
51367,呼图壁,新疆,44.1333,86.8167,522.10,5.60,2017/1/29 0:00:00
51368,昌吉,新疆,44.1167,87.3167,515.70,4.90,2017/1/29 0:00:00
51369,米泉,新疆,43.9667,87.65,600.30,2.10,2017/1/29 0:00:00
51377,阜康,新疆,44.1667,87.9167,547,0,2017/1/29 0:00:00
51378,吉木萨尔,新疆,44.0167,89.1667,734.90,0,2017/1/29 0:00:00
51379,奇台,新疆,44.0167,89.5667,793.50,4.50,2017/1/29 0:00:00
51430,察布查尔,新疆,43.8333,81.15,602.60,0,2017/1/29 0:00:00
51431,伊宁,新疆,43.95,81.3333,662.50,3.30,2017/1/29 0:00:00
51433,尼勒克,新疆,43.80,82.5167,1105.30,0.50,2017/1/29 0:00:00
51434,伊宁县,新疆,43.9667,81.5333,770,0,2017/1/29 0:00:00
51435,巩留,新疆,43.4667,82.2333,774.90,0.60,2017/1/29 0:00:00
51436,新源,新疆,43.45,83.30,928.20,1.70,2017/1/29 0:00:00
51437,昭苏,新疆,43.15,81.1333,1851,2,2017/1/29 0:00:00
51438,特克斯,新疆,43.1833,81.7667,1210.40,0,2017/1/29 0:00:00
51463,乌鲁木齐,新疆,43.7833,87.65,935,6.20,2017/1/29 0:00:00
51465,小渠子,新疆,43.4833,87.10,1871.80,4.20,2017/1/29 0:00:00
51467,巴仑台,新疆,42.7667,86.3333,1732.40,4.70,2017/1/29 0:00:00
51469,乌鲁木齐牧试站,新疆,43.45,87.1833,1930,5.60,2017/1/29 0:00:00
51470,天池,新疆,43.8833,88.1167,1942.50,6.70,2017/1/29 0:00:00
51477,达坂城,新疆,43.35,88.3167,1103.50,6.10,2017/1/29 0:00:00
51482,木垒,新疆,43.8333,90.2833,1271.50,6.10,2017/1/29 0:00:00
51495,十三间房,新疆,43.2167,91.7333,721.40,5.80,2017/1/29 0:00:00
51526,库米什,新疆,42.2333,88.2167,922.40,0,2017/1/29 0:00:00
51542,巴音布鲁克,新疆,43.0333,84.15,2458,4.60,2017/1/29 0:00:00
51559,和静,新疆,42.3167,86.40,1100.90,2.80,2017/1/29 0:00:00
51567,焉耆,新疆,42.0833,86.5667,1055.30,3,2017/1/29 0:00:00
51568,和硕,新疆,42.25,86.80,1085.40,2.30,2017/1/29 0:00:00
51571,托克逊,新疆,42.80,88.6333,1,1.60,2017/1/29 0:00:00
51572,吐鲁番东坎,新疆,42.8333,89.25,-48.70,5.80,2017/1/29 0:00:00
51573,吐鲁番,新疆,42.9333,89.20,34.50,4.10,2017/1/29 0:00:00
51581,鄯善,新疆,42.85,90.2333,398.60,5.90,2017/1/29 0:00:00
51627,乌什,新疆,41.2167,79.2333,1395.80,4.10,2017/1/29 0:00:00
51628,阿克苏,新疆,41.1667,80.2333,1103.80,3.60,2017/1/29 0:00:00
51629,温宿,新疆,41.2667,80.2333,1132.70,3.60,2017/1/29 0:00:00
51633,拜城,新疆,41.7833,81.90,1229.20,5.50,2017/1/29 0:00:00
51636,新和,新疆,41.55,82.65,1009.80,2.50,2017/1/29 0:00:00
51639,沙雅,新疆,41.2333,82.7833,980.40,3.50,2017/1/29 0:00:00
51642,轮台,新疆,41.8167,84.2667,982,3.40,2017/1/29 0:00:00
51644,库车,新疆,41.7167,82.9667,1081.90,5.70,2017/1/29 0:00:00
51655,尉犁,新疆,41.35,86.2667,884.90,3.20,2017/1/29 0:00:00
51656,库尔勒,新疆,41.75,86.1333,931.50,5.40,2017/1/29 0:00:00
51704,阿图什,新疆,39.7167,76.1667,1298.70,1,2017/1/29 0:00:00
51705,乌恰,新疆,39.7167,75.25,2175.70,1.50,2017/1/29 0:00:00
51707,伽师,新疆,39.50,76.7333,1208.60,5.90,2017/1/29 0:00:00
51708,阿克陶,新疆,39.15,75.95,1325.10,6.40,2017/1/29 0:00:00
51709,喀什,新疆,39.4667,75.9833,1289.40,6.20,2017/1/29 0:00:00
51711,阿合奇,新疆,40.9333,78.45,1985.10,4.70,2017/1/29 0:00:00
51716,巴楚,新疆,39.80,78.5667,1116.50,2.50,2017/1/29 0:00:00
51717,岳普湖,新疆,39.25,76.7833,1206.30,6.50,2017/1/29 0:00:00
51720,柯坪,新疆,40.50,79.05,1161.80,0.40,2017/1/29 0:00:00
51722,阿瓦提,新疆,40.65,80.40,1044.30,1.30,2017/1/29 0:00:00
51730,阿拉尔,新疆,40.55,81.2667,1012.20,3.60,2017/1/29 0:00:00
51747,塔中,新疆,39,83.6667,1099.30,3.60,2017/1/29 0:00:00
51765,铁干里克,新疆,40.6333,87.70,846,4.50,2017/1/29 0:00:00
51777,若羌,新疆,39.0333,88.1667,887.70,5.60,2017/1/29 0:00:00
51802,英吉沙,新疆,38.9333,76.1667,1297.50,5.90,2017/1/29 0:00:00
51804,塔什库尔干,新疆,37.7667,75.2333,3090.10,4.20,2017/1/29 0:00:00
51810,麦盖提,新疆,38.9167,77.6333,1178.20,7.60,2017/1/29 0:00:00
51811,莎车,新疆,38.4333,77.2667,1231.20,7.10,2017/1/29 0:00:00
51814,叶城,新疆,37.9167,77.40,1360.40,7.80,2017/1/29 0:00:00
51815,泽普,新疆,38.20,77.2667,1274.70,8.10,2017/1/29 0:00:00
51818,皮山,新疆,37.6167,78.2833,1375.40,6.50,2017/1/29 0:00:00
51826,策勒,新疆,37.0167,80.80,1336.50,4.60,2017/1/29 0:00:00
51827,墨玉,新疆,37.2833,79.7167,1326,5.70,2017/1/29 0:00:00
51828,和田,新疆,37.1333,79.9333,1375,5.90,2017/1/29 0:00:00
51829,洛浦,新疆,37.0833,80.1667,1347.90,4.80,2017/1/29 0:00:00
51839,民丰,新疆,37.0667,82.7167,1409.50,3.50,2017/1/29 0:00:00
51855,且末,新疆,38.15,85.55,1247.20,5.50,2017/1/29 0:00:00
51886,茫崖,青海,38.25,90.85,2944.80,6.50,2017/1/29 0:00:00
51931,于田,新疆,36.85,81.65,1422,6.80,2017/1/29 0:00:00
52101,巴里坤,新疆,43.60,93.05,1677.20,4.90,2017/1/29 0:00:00
52112,淖毛湖,新疆,43.7667,95.1333,479,6.30,2017/1/29 0:00:00
52118,伊吾,新疆,43.2667,94.70,1728.60,6.20,2017/1/29 0:00:00
52203,哈密,新疆,42.8167,93.5167,737.20,6.80,2017/1/29 0:00:00
52267,额济纳旗,内蒙古,41.95,101.0667,940.50,8.50,2017/1/29 0:00:00
52313,红柳河,新疆,41.5333,94.6667,1573.80,6.30,2017/1/29 0:00:00
52323,马鬃山,甘肃,41.80,97.0333,1770.40,6.40,2017/1/29 0:00:00
52418,敦煌,甘肃,40.15,94.6833,1139,6.40,2017/1/29 0:00:00
52424,瓜州,甘肃,40.5333,95.7833,1170.90,6.80,2017/1/29 0:00:00
52436,玉门镇,甘肃,40.2667,97.0333,1526,5.30,2017/1/29 0:00:00
52446,鼎新,甘肃,40.30,99.5167,1177.40,8.70,2017/1/29 0:00:00
52447,金塔,甘肃,40,98.8833,1270.50,6.90,2017/1/29 0:00:00
52495,巴彦诺尔公,内蒙古,40.1667,104.80,1323.90,8.80,2017/1/29 0:00:00
52515,肃北,甘肃,39.5167,94.8667,2137.20,6.60,2017/1/29 0:00:00
52533,酒泉,甘肃,39.7667,98.4833,1477.20,6.50,2017/1/29 0:00:00
52546,高台,甘肃,39.3667,99.8333,1332.20,8,2017/1/29 0:00:00
52557,临泽,甘肃,39.15,100.1667,1453.70,8.70,2017/1/29 0:00:00
52575,雅布赖,内蒙古,39.4167,102.7833,1239.50,8.60,2017/1/29 0:00:00
52576,阿右旗,内蒙古,39.2167,101.6833,1510.10,8.80,2017/1/29 0:00:00
52602,冷湖,青海,38.75,93.3333,2770,6.10,2017/1/29 0:00:00
52607,乌斯太,内蒙古,39.4333,106.65,1252.60,8.10,2017/1/29 0:00:00
52633,托勒,青海,38.8167,98.4167,3367,8.70,2017/1/29 0:00:00
52643,肃南,甘肃,38.8333,99.6167,2311.80,8.80,2017/1/29 0:00:00
52645,野牛沟,青海,38.4167,99.5833,3320,6.30,2017/1/29 0:00:00
52652,张掖,甘肃,39.0833,100.2833,1461.10,7.80,2017/1/29 0:00:00
52656,民乐,甘肃,38.4333,100.8167,2281.40,7.90,2017/1/29 0:00:00
52657,祁连,青海,38.1833,100.25,2787.40,9,2017/1/29 0:00:00
52661,山丹,甘肃,38.80,101.0833,1765.50,7.20,2017/1/29 0:00:00
52674,永昌,甘肃,38.2333,101.9667,1976.90,7.80,2017/1/29 0:00:00
52679,武威,甘肃,37.9167,102.6667,1531.50,8.60,2017/1/29 0:00:00
52681,民勤,甘肃,38.6333,103.0833,1367.50,8.30,2017/1/29 0:00:00
52707,小灶火,青海,36.80,93.6833,2767,7.40,2017/1/29 0:00:00
52713,大柴旦,青海,37.85,95.35,3173.20,8,2017/1/29 0:00:00
52737,德令哈,青海,37.3667,97.3833,2981.50,8.40,2017/1/29 0:00:00
52745,天峻,青海,37.30,99.0167,3417.10,8.70,2017/1/29 0:00:00
52754,刚察,青海,37.3333,100.1333,3301.50,8.70,2017/1/29 0:00:00
52765,门源,青海,37.3833,101.6167,2850,8.80,2017/1/29 0:00:00
52784,古浪,甘肃,37.4667,102.90,2072.40,8,2017/1/29 0:00:00
52787,乌鞘岭,甘肃,37.20,102.8667,3045.10,9,2017/1/29 0:00:00
52797,景泰,甘肃,37.1833,104.05,1630.90,8.50,2017/1/29 0:00:00
52818,格尔木,青海,36.4167,94.9167,2807.60,6.30,2017/1/29 0:00:00
52825,诺木洪,青海,36.4333,96.4333,2790.40,8,2017/1/29 0:00:00
52833,乌兰,青海,36.9333,98.4833,2950,7.80,2017/1/29 0:00:00
52836,都兰,青海,36.30,98.10,3189,8.20,2017/1/29 0:00:00
52842,茶卡,青海,36.7833,99.0833,3087.60,8.30,2017/1/29 0:00:00
52853,海晏,青海,36.90,100.9833,3010,7.40,2017/1/29 0:00:00
52855,湟源,青海,36.6833,101.25,2675,8.40,2017/1/29 0:00:00
52856,共和,青海,36.2667,100.6167,2835,7.70,2017/1/29 0:00:00
52862,大通,青海,36.95,101.6833,2450,7.30,2017/1/29 0:00:00
52863,互助,青海,36.8167,101.95,2480,8.40,2017/1/29 0:00:00
52866,西宁,青海,36.7333,101.75,2295.20,7.60,2017/1/29 0:00:00
52868,贵德,青海,36.0333,101.4333,2237.10,8.30,2017/1/29 0:00:00
52869,湟中,青海,36.50,101.5833,2667.50,8.20,2017/1/29 0:00:00
52874,乐都,青海,36.4833,102.40,1980.90,8.20,2017/1/29 0:00:00
52875,平安,青海,36.50,102.10,2125,8,2017/1/29 0:00:00
52876,民和,青海,36.3333,102.8333,1813.90,7.60,2017/1/29 0:00:00
52877,化隆,青海,36.10,102.25,2834.70,8.10,2017/1/29 0:00:00
52881,天祝,甘肃,36.9833,103.1833,2484.80,9.10,2017/1/29 0:00:00
52884,皋兰,甘肃,36.35,103.95,1668.50,8.80,2017/1/29 0:00:00
52885,永登,甘肃,36.75,103.25,2118.80,8.40,2017/1/29 0:00:00
52889,兰州,甘肃,36.05,103.8833,1517.20,7.30,2017/1/29 0:00:00
52895,靖远,甘肃,36.5667,104.6833,1398.20,9,2017/1/29 0:00:00
52896,白银,甘肃,36.55,104.15,1738.70,6.60,2017/1/29 0:00:00
52908,五道梁,青海,35.2167,93.0833,4612.20,6.90,2017/1/29 0:00:00
52943,兴海,青海,35.5833,99.9833,3323.20,7.40,2017/1/29 0:00:00
52955,贵南,青海,35.5833,100.7333,3120,8.10,2017/1/29 0:00:00
52957,同德,青海,35.25,100.60,3148.20,8.30,2017/1/29 0:00:00
52963,尖扎,青海,35.9333,102.0167,2085.70,8.60,2017/1/29 0:00:00
52968,泽库,青海,35.0333,101.4667,3662.80,7.90,2017/1/29 0:00:00
52972,循化,青海,35.85,102.45,1921,8.20,2017/1/29 0:00:00
52974,同仁,青海,35.5167,102.0167,2491.40,8,2017/1/29 0:00:00
52978,夏河,甘肃,35.20,102.5167,2929.40,8.50,2017/1/29 0:00:00
52980,永靖,甘肃,35.9667,103.30,1648,7.80,2017/1/29 0:00:00
52981,东乡,甘肃,35.6833,103.3833,2421,8.80,2017/1/29 0:00:00
52982,广河,甘肃,35.4833,103.55,1953.20,7.80,2017/1/29 0:00:00
52983,榆中,甘肃,35.8667,104.15,1874.40,8.50,2017/1/29 0:00:00
52984,临夏,甘肃,35.5833,103.1833,1917.20,8.10,2017/1/29 0:00:00
52985,和政,甘肃,35.4167,103.3333,2162.80,7.80,2017/1/29 0:00:00
52986,临洮,甘肃,35.3667,103.8667,1893.80,8.80,2017/1/29 0:00:00
52988,康乐,甘肃,35.3667,103.7167,2015.80,7.80,2017/1/29 0:00:00
52993,会宁,甘肃,35.6833,105.0667,1739.40,8.30,2017/1/29 0:00:00
52995,安定,甘肃,35.5833,104.6167,1897.20,8.60,2017/1/29 0:00:00
52996,华家岭,甘肃,35.3833,105.0167,2450.60,9.30,2017/1/29 0:00:00
52998,渭源,甘肃,35.1333,104.20,2111,8.60,2017/1/29 0:00:00
53068,二连浩特,内蒙古,43.6333,111.9333,963.10,8.70,2017/1/29 0:00:00
53083,那仁宝力格,内蒙古,44.6167,114.15,1181.60,8.40,2017/1/29 0:00:00
53149,满都拉气象站,内蒙古,42.5333,110.1333,1225.20,8.60,2017/1/29 0:00:00
53192,阿巴嘎旗,内蒙古,44.0167,114.95,1126.10,8.70,2017/1/29 0:00:00
53195,苏尼特左旗,内蒙古,43.85,113.6333,1036.70,8.90,2017/1/29 0:00:00
53231,海力素,内蒙古,41.40,106.40,1509.60,8.80,2017/1/29 0:00:00
53272,苏尼特右旗,内蒙古,42.75,112.6333,1104.90,8.10,2017/1/29 0:00:00
53276,朱日和,内蒙古,42.40,112.90,1150.80,7.30,2017/1/29 0:00:00
53289,镶黄旗,内蒙古,42.2333,113.8333,1322.10,7,2017/1/29 0:00:00
53324,乌拉特后旗,内蒙古,41.0667,107.05,1035.30,9,2017/1/29 0:00:00
53336,乌拉特中旗,内蒙古,41.5667,108.5167,1288,8.20,2017/1/29 0:00:00
53337,五原,内蒙古,41.10,108.2667,1023.70,7.20,2017/1/29 0:00:00
53343,白云鄂博,内蒙古,41.7667,109.9667,1612.20,6.60,2017/1/29 0:00:00
53348,大佘太,内蒙古,41.0167,109.1333,1078.70,7.70,2017/1/29 0:00:00
53352,达茂旗气象局,内蒙古,41.70,110.4333,1376.60,7,2017/1/29 0:00:00
53357,固阳县气象局,内蒙古,41.0333,110.05,1360.40,5.40,2017/1/29 0:00:00
53362,四子王,内蒙古,41.5333,111.6833,1490.10,6.90,2017/1/29 0:00:00
53367,希拉穆仁,内蒙古,41.3167,111.2333,1602.30,8.60,2017/1/29 0:00:00
53368,武川县,内蒙古,41.0833,111.4667,1637.30,8,2017/1/29 0:00:00
53378,察右中旗,内蒙古,41.2833,112.6167,1737.30,7,2017/1/29 0:00:00
53384,察右后旗,内蒙古,41.45,113.1833,1423.50,7.70,2017/1/29 0:00:00
53385,商都,内蒙古,41.5667,113.55,1385.20,7.20,2017/1/29 0:00:00
53391,化德,内蒙古,41.90,114,1482.70,7.30,2017/1/29 0:00:00
53392,康保,河北,41.85,114.60,1422.40,7.70,2017/1/29 0:00:00
53397,尚义,河北,41.10,113.9833,1376.50,7.20,2017/1/29 0:00:00
53399,张北,河北,41.15,114.70,1393.30,4.70,2017/1/29 0:00:00
53419,磴口,内蒙古,40.3333,107,1055.30,8.50,2017/1/29 0:00:00
53420,杭锦后旗,内蒙古,40.85,107.1167,1024,8.60,2017/1/29 0:00:00
53433,乌拉特前旗,内蒙古,40.7333,108.65,1020.40,8,2017/1/29 0:00:00
53446,包头市,内蒙古,40.5333,109.8833,1004.70,8.50,2017/1/29 0:00:00
